"","place","link","tables_present","test_tables","hospital_and_test","hospital_test_region","test_region"
"173","Uganda","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Uganda",0,0,0,0,0
"174","Ghana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ghana",0,0,0,0,0
"175","the Isle of Man","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Isle_of_Man",0,0,0,0,0
"176","Kyrgyzstan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Kyrgyzstan",0,0,0,0,0
"177","Michigan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Michigan",1,0,0,0,0
"178","New Hampshire","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_New_Hampshire",1,0,0,0,0
"179","Bahrain","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Bahrain",0,0,0,0,0
"180","Mongolia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Mongolia",0,0,0,0,0
"181","Sint Maarten","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sint_Maarten",0,0,0,0,0
"182","Mauritania","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Mauritania",0,0,0,0,0
"183","Hungary","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Hungary",0,0,0,0,0
"184","Peru","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Peru",1,0,0,0,0
"185","Washington, D.C.","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Washington,_D.C.",0,0,0,0,0
"186","Kansas","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Kansas",1,0,0,0,0
"187","Belize","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Belize",0,0,0,0,0
"188","Syria","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Syria",0,0,0,0,0
"189","the Faroe Islands","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Faroe_Islands",0,0,0,0,0
"190","Saudi Arabia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Saudi_Arabia",0,0,0,0,0
"191","Liechtenstein","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Liechtenstein",1,1,1,0,0
"192","Laos","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Laos",1,0,0,0,0
"193","Hawaii","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Hawaii",1,0,0,0,0
"194","the Autonomous Republic of Crimea","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_Autonomous_Republic_of_Crimea",0,0,0,0,0
"195","Malawi","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Malawi",0,0,0,0,0
"196","Mali","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Mali",0,0,0,0,0
"197","Gabon","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Gabon",0,0,0,0,0
"198","Guinea-Bissau","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Guinea-Bissau",0,0,0,0,0
"199","Puerto Rico","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Puerto_Rico",1,0,0,0,0
"200","North Carolina","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_North_Carolina",1,0,0,0,0
"201","Paraguay","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Paraguay",0,0,0,0,0
"202","North Dakota","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_North_Dakota",1,0,0,0,0
"203","Libya","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Libya",0,0,0,0,0
"204","Myanmar","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Myanmar",1,1,1,1,1
"205","El Salvador","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_El_Salvador",0,0,0,0,0
"206","the United Kingdom","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_the_United_Kingdom",1,1,1,1,1
"207","Burkina Faso","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Burkina_Faso",0,0,0,0,0
"208","Montenegro","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Montenegro",0,0,0,0,0
"209","Moldova","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Moldova",2,0,1,0,0
"210","Wisconsin","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Wisconsin",1,0,0,0,0
"211","Barbados","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Barbados",0,0,0,0,0
"212","Azerbaijan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Azerbaijan",0,0,0,0,0
"213","British Columbia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_British_Columbia",0,0,0,0,0
"214","Northern Ireland","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Northern_Ireland",1,1,1,0,0
"215","Chile","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Chile",2,0,0,0,0
"216","Guyana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Guyana",0,0,0,0,0
"217","Ivory Coast","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Ivory_Coast",0,0,0,0,0
"218","Odisha","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Odisha",1,0,0,0,0
"219","Melilla","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Melilla",3,1,6,0,0
"220","Aruba","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Aruba",0,0,0,0,0
"221","Arizona","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Arizona",1,0,0,0,0
"222","North Rhine-Westphalia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_North_Rhine-Westphalia",0,0,0,0,0
"223","Nicaragua","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Nicaragua",0,0,0,0,0
"224","Sichuan","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sichuan",1,0,0,0,0
"225","Sierra Leone","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sierra_Leone",0,0,0,0,0
"226","Estonia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Estonia",0,0,0,0,0
"227","French Guiana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_French_Guiana",0,0,0,0,0
"228","Luxembourg","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Luxembourg",0,0,0,0,0
"229","Sabah","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Sabah",2,1,1,1,1
"230","Grenada","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Grenada",0,0,0,0,0
"231","Arkansas","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Arkansas",1,0,0,0,0
"232","Philadelphia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Philadelphia",0,0,0,0,0
"233","Slovenia","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Slovenia",0,0,0,0,0
"234","Montana","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Montana",1,0,0,0,0
"235","Prince Edward Island","https://en.wikipedia.org//wiki/2020_coronavirus_pandemic_in_Prince_Edward_Island",0,0,0,0,0
