"","city_province","number_of_cases","notes","edit_date","discharged","deaths"
"215","Thua Thien Hue",2,NA,"21:22, 24 March 2020",0,NA
"216","Tra Vinh",2,NA,"21:22, 24 March 2020",0,NA
"217","Vinh Phuc",11,NA,"21:22, 24 March 2020",11,NA
"218","20 cities and provinces",134,NA,"21:22, 24 March 2020",17,NA
"219","Bac Ninh",1,NA,"16:32, 25 March 2020",0,NA
"220","Ben Tre",1,NA,"16:32, 25 March 2020",0,NA
"221","Binh Thuan",9,NA,"16:32, 25 March 2020",0,NA
"222","Da Nang",6,NA,"16:32, 25 March 2020",0,NA
"223","Dong Thap",4,NA,"16:32, 25 March 2020",0,NA
"224","Hai Duong",1,NA,"16:32, 25 March 2020",0,NA
"225","Hanoi",50,NA,"16:32, 25 March 2020",0,NA
"226","Ho Chi Minh City",34,NA,"16:32, 25 March 2020",3,NA
"227","Khanh Hoa",1,NA,"16:32, 25 March 2020",1,NA
"228","Lai Chau",1,NA,"16:32, 25 March 2020",0,NA
"229","Lao Cai",2,NA,"16:32, 25 March 2020",0,NA
"230","Ninh Binh",1,NA,"16:32, 25 March 2020",1,NA
"231","Ninh Thuan",2,NA,"16:32, 25 March 2020",0,NA
"232","Quang Nam",3,NA,"16:32, 25 March 2020",0,NA
"233","Quang Ninh",6,NA,"16:32, 25 March 2020",0,NA
"234","Tay Ninh",2,NA,"16:32, 25 March 2020",0,NA
"235","Thanh Hoa",2,NA,"16:32, 25 March 2020",1,NA
"236","Thua Thien Hue",2,NA,"16:32, 25 March 2020",0,NA
"237","Tra Vinh",2,NA,"16:32, 25 March 2020",0,NA
"238","Vinh Phuc",11,NA,"16:32, 25 March 2020",11,NA
"239","20 cities and provinces",141,NA,"16:32, 25 March 2020",17,NA
"240","Bac Ninh",1,NA,"21:19, 26 March 2020",0,NA
"241","Ben Tre",1,NA,"21:19, 26 March 2020",0,NA
"242","Binh Thuan",9,NA,"21:19, 26 March 2020",0,NA
"243","Can Tho",1,NA,"21:19, 26 March 2020",0,NA
"244","Da Nang",6,NA,"21:19, 26 March 2020",0,NA
"245","Dong Thap",4,NA,"21:19, 26 March 2020",0,NA
"246","Hai Duong",1,NA,"21:19, 26 March 2020",0,NA
"247","Hanoi",52,NA,"21:19, 26 March 2020",0,NA
"248","Ha Tinh",1,NA,"21:19, 26 March 2020",0,NA
"249","Ho Chi Minh City",40,NA,"21:19, 26 March 2020",3,NA
"250","Khanh Hoa",1,NA,"21:19, 26 March 2020",1,NA
"251","Lai Chau",1,NA,"21:19, 26 March 2020",0,NA
"252","Lao Cai",2,NA,"21:19, 26 March 2020",0,NA
"253","Ninh Binh",1,NA,"21:19, 26 March 2020",1,NA
"254","Ninh Thuan",2,NA,"21:19, 26 March 2020",0,NA
"255","Quang Nam",3,NA,"21:19, 26 March 2020",0,NA
"256","Quang Ninh",7,NA,"21:19, 26 March 2020",0,NA
"257","Tay Ninh",2,NA,"21:19, 26 March 2020",0,NA
"258","Thanh Hoa",2,NA,"21:19, 26 March 2020",1,NA
"259","Thua Thien Hue",2,NA,"21:19, 26 March 2020",0,NA
"260","Tra Vinh",3,NA,"21:19, 26 March 2020",0,NA
"261","Vinh Phuc",11,NA,"21:19, 26 March 2020",11,NA
"262","22 cities and provinces",153,NA,"21:19, 26 March 2020",17,NA
"263","Bac Lieu",2,NA,"22:55, 27 March 2020",0,NA
"264","Bac Ninh",1,NA,"22:55, 27 March 2020",0,NA
"265","Ben Tre",1,NA,"22:55, 27 March 2020",0,NA
"266","Binh Thuan",9,NA,"22:55, 27 March 2020",0,NA
"267","Can Tho",2,NA,"22:55, 27 March 2020",0,NA
"268","Da Nang",6,NA,"22:55, 27 March 2020",3,NA
"269","Dong Thap",4,NA,"22:55, 27 March 2020",0,NA
"270","Hai Duong",1,NA,"22:55, 27 March 2020",0,NA
"271","Hanoi",55,NA,"22:55, 27 March 2020",0,NA
"272","Ha Tinh",1,NA,"22:55, 27 March 2020",0,NA
"273","Ho Chi Minh City",44,NA,"22:55, 27 March 2020",3,NA
"274","Khanh Hoa",1,NA,"22:55, 27 March 2020",1,NA
"275","Lai Chau",1,NA,"22:55, 27 March 2020",0,NA
"276","Lao Cai",2,NA,"22:55, 27 March 2020",0,NA
"277","Ninh Binh",1,NA,"22:55, 27 March 2020",1,NA
"278","Ninh Thuan",2,NA,"22:55, 27 March 2020",0,NA
"279","Quang Nam",3,NA,"22:55, 27 March 2020",0,NA
"280","Quang Ninh",7,NA,"22:55, 27 March 2020",0,NA
"281","Tay Ninh",2,NA,"22:55, 27 March 2020",0,NA
"282","Thanh Hoa",2,NA,"22:55, 27 March 2020",1,NA
"283","Thua Thien Hue",2,NA,"22:55, 27 March 2020",0,NA
"284","Tra Vinh",3,NA,"22:55, 27 March 2020",0,NA
"285","Vinh Phuc",11,NA,"22:55, 27 March 2020",11,NA
"286","23 cities and provinces",163,NA,"22:55, 27 March 2020",20,NA
"287","Bac Lieu",2,NA,"23:16, 28 March 2020",0,NA
"288","Bac Ninh",1,NA,"23:16, 28 March 2020",0,NA
"289","Ben Tre",1,NA,"23:16, 28 March 2020",0,NA
"290","Binh Thuan",9,NA,"23:16, 28 March 2020",0,NA
"291","Can Tho",2,NA,"23:16, 28 March 2020",0,NA
"292","Da Nang",6,NA,"23:16, 28 March 2020",3,NA
"293","Dong Thap",4,NA,"23:16, 28 March 2020",0,NA
"294","Hai Duong",1,NA,"23:16, 28 March 2020",0,NA
"295","Hanoi",61,NA,"23:16, 28 March 2020",0,NA
"296","Ha Tinh",1,NA,"23:16, 28 March 2020",0,NA
"297","Ho Chi Minh City",45,NA,"23:16, 28 March 2020",3,NA
"298","Khanh Hoa",1,NA,"23:16, 28 March 2020",1,NA
"299","Lai Chau",1,NA,"23:16, 28 March 2020",0,NA
"300","Lao Cai",2,NA,"23:16, 28 March 2020",0,NA
"301","Ninh Binh",5,NA,"23:16, 28 March 2020",1,NA
"302","Ninh Thuan",2,NA,"23:16, 28 March 2020",0,NA
"303","Quang Nam",3,NA,"23:16, 28 March 2020",0,NA
"304","Quang Ninh",7,NA,"23:16, 28 March 2020",0,NA
"305","Tay Ninh",2,NA,"23:16, 28 March 2020",0,NA
"306","Thanh Hoa",2,NA,"23:16, 28 March 2020",1,NA
"307","Thua Thien Hue",2,NA,"23:16, 28 March 2020",1,NA
"308","Tra Vinh",3,NA,"23:16, 28 March 2020",0,NA
"309","Vinh Phuc",11,NA,"23:16, 28 March 2020",11,NA
"310","23 cities and provinces",174,NA,"23:16, 28 March 2020",21,NA
"311","Bac Lieu",2,NA,"22:01, 29 March 2020",0,NA
"312","Bac Ninh",1,NA,"22:01, 29 March 2020",0,NA
"313","Ben Tre",1,NA,"22:01, 29 March 2020",0,NA
"314","Binh Thuan",9,NA,"22:01, 29 March 2020",0,NA
"315","Can Tho",2,NA,"22:01, 29 March 2020",0,NA
"316","Da Nang",6,NA,"22:01, 29 March 2020",3,NA
"317","Dong Thap",4,NA,"22:01, 29 March 2020",0,NA
"318","Hai Duong",1,NA,"22:01, 29 March 2020",0,NA
"319","Hanoi",70,NA,"22:01, 29 March 2020",0,NA
"320","Ha Tinh",1,NA,"22:01, 29 March 2020",0,NA
"321","Ho Chi Minh City",45,NA,"22:01, 29 March 2020",7,NA
"322","Khanh Hoa",1,NA,"22:01, 29 March 2020",1,NA
"323","Lai Chau",1,NA,"22:01, 29 March 2020",0,NA
"324","Lao Cai",2,NA,"22:01, 29 March 2020",0,NA
"325","Ninh Binh",8,NA,"22:01, 29 March 2020",1,NA
"326","Ninh Thuan",2,NA,"22:01, 29 March 2020",0,NA
"327","Quang Nam",3,NA,"22:01, 29 March 2020",0,NA
"328","Quang Ninh",7,NA,"22:01, 29 March 2020",0,NA
"329","Tay Ninh",2,NA,"22:01, 29 March 2020",0,NA
"330","Thai Nguyen",1,NA,"22:01, 29 March 2020",0,NA
"331","Thanh Hoa",3,NA,"22:01, 29 March 2020",1,NA
"332","Thua Thien Hue",2,NA,"22:01, 29 March 2020",1,NA
"333","Tra Vinh",3,NA,"22:01, 29 March 2020",0,NA
"334","Vinh Phuc",11,NA,"22:01, 29 March 2020",11,NA
"335","24 cities and provinces",188,NA,"22:01, 29 March 2020",25,NA
"336","Bac Lieu",2,NA,"18:38, 30 March 2020",0,NA
"337","Bac Ninh",1,NA,"18:38, 30 March 2020",0,NA
"338","Ben Tre",1,NA,"18:38, 30 March 2020",0,NA
"339","Binh Thuan",9,NA,"18:38, 30 March 2020",0,NA
"340","Can Tho",2,NA,"18:38, 30 March 2020",0,NA
"341","Da Nang",6,NA,"18:38, 30 March 2020",3,NA
"342","Dong Thap",4,NA,"18:38, 30 March 2020",0,NA
"343","Hai Duong",1,NA,"18:38, 30 March 2020",0,NA
"344","Hanoi",84,NA,"18:38, 30 March 2020",27,NA
"345","Ha Tinh",1,NA,"18:38, 30 March 2020",0,NA
"346","Ho Chi Minh City",46,NA,"18:38, 30 March 2020",10,NA
"347","Khanh Hoa",1,NA,"18:38, 30 March 2020",1,NA
"348","Lai Chau",1,NA,"18:38, 30 March 2020",0,NA
"349","Lao Cai",2,NA,"18:38, 30 March 2020",0,NA
"350","Ninh Binh",8,NA,"18:38, 30 March 2020",1,NA
"351","Ninh Thuan",2,NA,"18:38, 30 March 2020",0,NA
"352","Quang Nam",3,NA,"18:38, 30 March 2020",0,NA
"353","Quang Ninh",7,NA,"18:38, 30 March 2020",0,NA
"354","Tay Ninh",2,NA,"18:38, 30 March 2020",0,NA
"355","Thai Nguyen",1,NA,"18:38, 30 March 2020",0,NA
"356","Thanh Hoa",3,NA,"18:38, 30 March 2020",1,NA
"357","Thua Thien Hue",2,NA,"18:38, 30 March 2020",1,NA
"358","Tra Vinh",3,NA,"18:38, 30 March 2020",0,NA
"359","Vinh Phuc",11,NA,"18:38, 30 March 2020",11,NA
"360","24 cities and provinces",203,NA,"18:38, 30 March 2020",55,NA
"361","Bac Lieu",2,NA,"21:34, 31 March 2020",0,NA
"362","Bac Ninh",1,NA,"21:34, 31 March 2020",0,NA
"363","Ben Tre",1,NA,"21:34, 31 March 2020",0,NA
"364","Binh Thuan",9,NA,"21:34, 31 March 2020",0,NA
"365","Can Tho",2,NA,"21:34, 31 March 2020",0,NA
"366","Da Nang",6,NA,"21:34, 31 March 2020",3,NA
"367","Dong Thap",4,NA,"21:34, 31 March 2020",0,NA
"368","Hai Duong",1,NA,"21:34, 31 March 2020",0,NA
"369","Hanoi",85,NA,"21:34, 31 March 2020",27,NA
"370","Ha Tinh",1,NA,"21:34, 31 March 2020",0,NA
"371","Ho Chi Minh City",49,NA,"21:34, 31 March 2020",11,NA
"372","Khanh Hoa",1,NA,"21:34, 31 March 2020",1,NA
"373","Lai Chau",1,NA,"21:34, 31 March 2020",0,NA
"374","Lao Cai",2,NA,"21:34, 31 March 2020",0,NA
"375","Ninh Binh",8,NA,"21:34, 31 March 2020",1,NA
"376","Ninh Thuan",2,NA,"21:34, 31 March 2020",0,NA
"377","Quang Nam",3,NA,"21:34, 31 March 2020",0,NA
"378","Quang Ninh",7,NA,"21:34, 31 March 2020",0,NA
"379","Tay Ninh",2,NA,"21:34, 31 March 2020",0,NA
"380","Thai Nguyen",1,NA,"21:34, 31 March 2020",0,NA
"381","Thanh Hoa",3,NA,"21:34, 31 March 2020",1,NA
"382","Thua Thien Hue",2,NA,"21:34, 31 March 2020",2,NA
"383","Tra Vinh",3,NA,"21:34, 31 March 2020",0,NA
"384","Vinh Phuc",11,NA,"21:34, 31 March 2020",11,NA
"385","24 cities and provinces",207,NA,"21:34, 31 March 2020",57,NA
"386","Bac Lieu",2,NA,"12:59, 1 April 2020",0,NA
"387","Bac Ninh",1,NA,"12:59, 1 April 2020",0,NA
"388","Ben Tre",1,NA,"12:59, 1 April 2020",0,NA
"389","Binh Thuan",9,NA,"12:59, 1 April 2020",0,NA
"390","Can Tho",2,NA,"12:59, 1 April 2020",0,NA
"391","Da Nang",6,NA,"12:59, 1 April 2020",3,NA
"392","Dong Thap",4,NA,"12:59, 1 April 2020",0,NA
"393","Hai Duong",1,NA,"12:59, 1 April 2020",0,NA
"394","Hanoi",94,NA,"12:59, 1 April 2020",27,NA
"395","Ha Tinh",2,NA,"12:59, 1 April 2020",0,NA
"396","Ho Chi Minh City",49,NA,"12:59, 1 April 2020",15,NA
"397","Khanh Hoa",1,NA,"12:59, 1 April 2020",1,NA
"398","Lai Chau",1,NA,"12:59, 1 April 2020",0,NA
"399","Lao Cai",2,NA,"12:59, 1 April 2020",0,NA
"400","Ninh Binh",9,NA,"12:59, 1 April 2020",1,NA
"401","Ninh Thuan",2,NA,"12:59, 1 April 2020",2,NA
"402","Quang Nam",3,NA,"12:59, 1 April 2020",0,NA
"403","Quang Ninh",7,NA,"12:59, 1 April 2020",0,NA
